danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.758,0.806,10,-5.365,0,0.111,0.0707,0.000188,0.102,0.734,139.948,audio_features,2mitiDTMPJ82NxsUyK9pu5,spotify:track:2mitiDTMPJ82NxsUyK9pu5,https://api.spotify.com/v1/tracks/2mitiDTMPJ82NxsUyK9pu5,https://api.spotify.com/v1/audio-analysis/2mitiDTMPJ82NxsUyK9pu5,155876,4,5
0.913,0.616,7,-8.236,1,0.0809,0.608,0.0,0.116,0.59,120.068,audio_features,4NSjJM4RhFYYck8de4YsTb,spotify:track:4NSjJM4RhFYYck8de4YsTb,https://api.spotify.com/v1/tracks/4NSjJM4RhFYYck8de4YsTb,https://api.spotify.com/v1/audio-analysis/4NSjJM4RhFYYck8de4YsTb,129947,4,0
0.82,0.514,9,-8.498,1,0.0886,0.188,0.00141,0.115,0.0718,136.997,audio_features,4Jd3OohFbupxQBs4Q9zjF4,spotify:track:4Jd3OohFbupxQBs4Q9zjF4,https://api.spotify.com/v1/tracks/4Jd3OohFbupxQBs4Q9zjF4,https://api.spotify.com/v1/audio-analysis/4Jd3OohFbupxQBs4Q9zjF4,186480,4,1
0.753,0.835,1,-4.933,1,0.283,0.102,0.0,0.259,0.431,127.988,audio_features,0b85BAqtnPxgxHn0nkegXd,spotify:track:0b85BAqtnPxgxHn0nkegXd,https://api.spotify.com/v1/tracks/0b85BAqtnPxgxHn0nkegXd,https://api.spotify.com/v1/audio-analysis/0b85BAqtnPxgxHn0nkegXd,214253,4,3
0.376,0.77,5,-5.51,0,0.0623,0.107,0.0,0.171,0.365,96.14,audio_features,5B7AL4ZcRVNsUzR8WUVxmT,spotify:track:5B7AL4ZcRVNsUzR8WUVxmT,https://api.spotify.com/v1/tracks/5B7AL4ZcRVNsUzR8WUVxmT,https://api.spotify.com/v1/audio-analysis/5B7AL4ZcRVNsUzR8WUVxmT,203573,4,2
0.745,0.551,6,-9.058,0,0.235,0.05,0.0,0.105,0.15,122.011,audio_features,1Syhm4vkn6n2DYuFnyI60s,spotify:track:1Syhm4vkn6n2DYuFnyI60s,https://api.spotify.com/v1/tracks/1Syhm4vkn6n2DYuFnyI60s,https://api.spotify.com/v1/audio-analysis/1Syhm4vkn6n2DYuFnyI60s,220328,4,3
0.77,0.797,10,-4.985,0,0.0692,0.0657,3.99e-06,0.0858,0.393,100.004,audio_features,4Ry9AxD63dk4f6GT4nvdPT,spotify:track:4Ry9AxD63dk4f6GT4nvdPT,https://api.spotify.com/v1/tracks/4Ry9AxD63dk4f6GT4nvdPT,https://api.spotify.com/v1/audio-analysis/4Ry9AxD63dk4f6GT4nvdPT,172827,4,5
0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,6ocbgoVGwYJhOv1GgI9NsF,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,178627,4,3
0.65,0.736,6,-5.84,0,0.229,0.0513,0.0,0.235,0.612,159.174,audio_features,44ONERBHALxftQNWq6dmyd,spotify:track:44ONERBHALxftQNWq6dmyd,https://api.spotify.com/v1/tracks/44ONERBHALxftQNWq6dmyd,https://api.spotify.com/v1/audio-analysis/44ONERBHALxftQNWq6dmyd,226160,4,3
0.652,0.702,4,-8.124,1,0.0803,0.03,0.0,0.0831,0.82,151.995,audio_features,6BZhkqUtaFJm57Hm5TTQSH,spotify:track:6BZhkqUtaFJm57Hm5TTQSH,https://api.spotify.com/v1/tracks/6BZhkqUtaFJm57Hm5TTQSH,https://api.spotify.com/v1/audio-analysis/6BZhkqUtaFJm57Hm5TTQSH,158282,4,0
